user_name,user_location,user_description,user_verified,date,text,hashtags,source
Yippee Ki Yay Mother Podcast,Wash,We are a multi-generational discussion of movies. Come and join the conversation. Find us on iTunes and YouTube. Yell at us here.,False,2022-06-13 23:44:00+00:00,"In this episode, the Mother Podcasters bring their guilty pleasures to the table -- and show off the new swag. #Battleship #LiarLiar #TheWildGeese #TheDobermanGang #TeenagersFromOuterSpace   YKY: Our ""Guilty Pleasures"" Film Choices https://t.co/XkdwVyFYiO via @YouTube https://t.co/jdGbAaEQfU",,TweetDeck
Ret. Gen. Andrew F. Strasser,"South Bend, IN","#Zacharia_Andrew_Pain #Zarabtul 
#BUDDHISM #Zara #Rinpoche #DM #GC #HC #GM #OG #LG #RPE #ANON #FFS #TR #TCC #MTCC #GS #EG #Q #TNLS #TOP #EarthLiberationFront",False,2022-06-13 23:03:40+00:00,"You so happy playing #battleship right you want to take all the boats I just want #ONE

https://t.co/iCeqUGgyEZ","['battleship', 'ONE']",Twitter for Android
Jeanette 🌞🌵🦎🌴ULTRA MAGA*🇺🇲*USA**ARIZONA*,"Arizona ---USA,","✝️Christian & Conservative 🇺🇸🤗 🌵🌴 🍀 🌻  -also an Aries,God loving,retweet a lot,capitalist,American born,English/Scot/Irish ancestors--",False,2022-06-13 17:16:09+00:00,Best part of this movie is when they call out The USS MISSOURI  FOR HELP!👍🇺🇸#BATTLESHIP,['BATTLESHIP'],Twitter for Android
Friends of the Archives of NC,"Raleigh, NC","FOA is a non-profit organization that funds the services, activities, & programs of the State Archives of NC, not provided by state-appropriated funding.",False,2022-06-13 15:31:01+00:00,"#otd in 1940, the USS North Carolina embarked from New York to return home! 🚢 
@ncarchives #foa #sanc #archives #nc #northcarolina #ussnorthcarolina #battleship 
N-85-5-14 
Christening of the USS North Carolina, June 13, 1940, by Miss Isabel Young Hoey
https://t.co/LcMBBCLgZn","['otd', 'foa', 'sanc', 'archives', 'nc']",Twitter Web App
Jackie Hoare,London,"An Irish/Aussie who has left Brisbane for a new life in London.  Self-professed music nerd & spelling nerd.  I love travel, art, politics and all London offers.",False,2022-06-13 13:30:51+00:00,HMS Belfast is a Town-class light cruiser that was built for the   #Watercraft #Vessel #Vehicle #Transportation #Boat #Military #Ship #Cruiser #Navy #Battleship #Destroyer #HMSBelfast #ImperialWarMuseum #TheThames #London https://t.co/IVuNsyGGTI,"['Watercraft', 'Vessel', 'Vehicle', 'Transportation']",Clickasnap
みそろく,新潟,架空艦モデラーです。,False,2022-06-13 13:02:23+00:00,"RT @artofthomasd: #whatif AA #isebattleship from my #alternatehistory #novel At the Edge of the Abyss
#battleship #伊勢 #ise #架空艦 #fictionals…","['whatif', 'isebattleship', 'alternatehistory', 'novel', 'battleship', '伊勢', 'ise', '架空艦']",Twitter Web App
Wendy Lamin,"Edinburgh, Scotland",MD @holoxica. #Diversity #Inclusion #Growthmindset #Empathy #EU #Community #4IR #3D Belgian. Opinions=mine,False,2022-06-13 12:10:32+00:00,"RT @holoxica: #ICYMI - our #3D #pointcloud data capabilities, with a practical example of our work for the UK #MoD: a #hologram of HMS Roya…","['ICYMI', '3D', 'pointcloud', 'MoD', 'hologram']",Twitter for iPhone
Holoxica Ltd,"Edinburgh, Scotland, UK",We bring real 3D to life: #modeling #simulation #visualisation. The pure #3D #holographic experience will drive the human digital interaction of the future.,False,2022-06-13 12:08:30+00:00,"#ICYMI - our #3D #pointcloud data capabilities, with a practical example of our work for the UK #MoD: a #hologram of HMS Royal Oak, the 1st #battleship sunk in the WWII, generated using #sonar scan data to study the condition of the wreck on the seabed:
https://t.co/grDTzosdGH https://t.co/opFgMpaoiq","['ICYMI', '3D', 'pointcloud', 'MoD', 'hologram']",Twitter Web App
13,,,False,2022-06-13 04:21:43+00:00,RT @Channy_uxa: USS Battle Ship North Carolina #battleship #northcarolina #adventure #explore #unexplainable #plane #airforce #roadtrip #re…,"['battleship', 'northcarolina', 'adventure', 'explore', 'unexplainable', 'plane', 'airforce', 'roadtrip']",Twitter Web App
★ ɬąཞơɬ & ɬɛą ★,Regions Beyond,Providing clarity & personal development through Tarot & law of attraction. 🤍funeral director/cremation tech🪦 selcouth.,False,2022-06-13 03:35:58+00:00,RT @Channy_uxa: USS Battle Ship North Carolina #battleship #northcarolina #adventure #explore #unexplainable #plane #airforce #roadtrip #re…,"['battleship', 'northcarolina', 'adventure', 'explore', 'unexplainable', 'plane', 'airforce', 'roadtrip']",Twitter for iPhone
Vodkavamp,"Western Australia, Australia",love the paranormal 👻👼😈 and the spiritual 🔮👐👼🙏purple is the best colour ever 💜💜💜💜💜music soothes the soul 🎶🎵🎧 (And happily married 👍🏻😁💜),False,2022-06-13 01:18:35+00:00,RT @Channy_uxa: USS battle Ship North Carolina @ExplorePast @ImChantelle2 best day ever 😁🫶🏼#NorthCarolina #YouTube #battleship #Reunion htt…,"['NorthCarolina', 'YouTube', 'battleship', 'Reunion']",Twitter Web App
Charmaine Connor,,I’m a mother of 2 beautiful daughters and my youngest has Autism and epilepsy 💗love paranormal stuff 👻 I would not change my life with my daughters 💕,False,2022-06-13 00:03:22+00:00,RT @Channy_uxa: USS Battle Ship North Carolina #battleship #northcarolina #adventure #explore #unexplainable #plane #airforce #roadtrip #re…,"['battleship', 'northcarolina', 'adventure', 'explore', 'unexplainable', 'plane', 'airforce', 'roadtrip']",Twitter for iPhone
❤️ Sofie 🥰 I love anthony david tapia💕💋💞,Danmark,"❤️❤️ I m fan  @cjfaison  💯  @OmarGoshTV
and i love you @Anthonydtapia93 ❤️❤️😘",False,2022-06-12 22:06:52+00:00,RT @Channy_uxa: USS Battle Ship North Carolina #battleship #northcarolina #adventure #explore #unexplainable #plane #airforce #roadtrip #re…,"['battleship', 'northcarolina', 'adventure', 'explore', 'unexplainable', 'plane', 'airforce', 'roadtrip']",Twitter for Android
THE FLUFFYYY,"Boston Mass , USA",@OmarGoshTV 10/2017 TAKEN FIANCÉ @tarotandtea1 1/21/21 ❤️💍 P.O. Box 660 Heber Ca 92249,False,2022-06-12 21:58:15+00:00,RT @Channy_uxa: USS Battle Ship North Carolina #battleship #northcarolina #adventure #explore #unexplainable #plane #airforce #roadtrip #re…,"['battleship', 'northcarolina', 'adventure', 'explore', 'unexplainable', 'plane', 'airforce', 'roadtrip']",Twitter for iPhone
THE FLUFFYYY,"Boston Mass , USA",@OmarGoshTV 10/2017 TAKEN FIANCÉ @tarotandtea1 1/21/21 ❤️💍 P.O. Box 660 Heber Ca 92249,False,2022-06-12 21:58:03+00:00,RT @Channy_uxa: USS battle Ship North Carolina @ExplorePast @ImChantelle2 best day ever 😁🫶🏼#NorthCarolina #YouTube #battleship #Reunion htt…,"['NorthCarolina', 'YouTube', 'battleship', 'Reunion']",Twitter for iPhone
